year\variable,category,area_prefix,area,party_name,population_est,party_membership,cp_membership_num,pct_of_pop,status,sino_soviet,pub_names,pub_circs,date_founded,party_leader,pct_vote,vote_as_of,seats_txt,seats_controlled,total_seats,seats_pct,leg_text,last_congress
1971,Eastern Europe and the Soviet Union,,Albania,Albanian Party of Labor (APL),2108000,75673 (claim),75673,0.035898008,,,,,8-Nov-41,Enver Hoxha,,,,,,,,
1971,,,Bulgaria,Bulgarian Communist Party (BCP),8500000,637000 (claim),637000,0.074941176,,,,,1903,,,,,,,,,
1971,,,Czechoslovakia,Communist Party of Czechoslovakia (KSC),14300000,slightly above 1.2 million (est),1200000,0.083916084,,,,,Nov-21,,,,,,,,,
1971,,,German Democratic Republic,Socialist Unity Party of Germany (SED),17075000,1893594 (claim),1893594,0.110898624,,,,,21-Apr-46,,,,,,,,,
1971,,,Hungary,Hungarian Socialist Workers' Party (HSWP),10340000,662397 (claim),662397,0.064061605,,,,,24-Nov-18,,,,,,,,,
1971,,,Poland,Polish United Workers' Party (PUWP),32720000,2296000 (claim),2296000,0.070171149,,,,,Dec-18,,,,,,,,,
1971,,,Romania,Romanian Communist Party (RCP),20140000,1999720 (claim),1999720,0.099290963,,,,,1921,,,,,,,,,
1971,,,USSR,Communist Party of the Soviet Union (CPSU),241748000,14254000 (claim),14254000,0.058962225,,,,,1 March 1898,,,,,,,,,
1971,,,Yugoslavia,League of Communists of Yugoslavia (LCY),20400000,1046084 (claim),1046084,0.051278627,,,,,Jun-20,,,,,,,,,
1971,Western Europe,,Austria,Communist Party of Austria (KPO),7349000,26000 (claim),26000,0.003537896,,,,,3-Nov-18,,,,,,,,,
1971,,,Belgium,PCB; PCB-II; PCMLB; JGS (Trotskyist),10000000,11000-12500 (11750); 50; 150; 500,12450,0.001245,,,,,,,,,,,,,,
1971,,,Cyprus,Reconstruction Party of the Working People of Cyprus (AKEL),622000,12000-15000 (est),13500,0.02170418,,,,,Aug-26,,,,,,,,,
1971,,,Denmark,Communist Party of Denmark (DKP),4870000,6000 (claim),6000,0.001232033,,,,,9-Nov-19,,,,,,,,,
1971,,,Finland,Communist Party of Finland (SKP),4688000,47000 (est),47000,0.010025597,,,,,29-Aug-18,,,,,,,,,
1971,,,France,French Communist Party (PCF),50000000,"400000 (claim), 255000 (dissident est), 290000 (media est)",290000,0.0058,,,,,Dec-20,,,,,,,,,
1971,,,Federal Republic of Germany,Communist Party of Germany (KPD); German Communist Party (DKP),58015000,7000 (est); 30000 (est),37000,0.000637766,,,,,1918,,,,,,,,,
1971,,,West Berlin,Socialist Unity Party of West Berlin (SEW),2141000,7000 (est),7000,0.0032695,,,,,24-Nov-62,,,,,,,,,
1971,,,Great Britain,Communist Party of Great Britain (CPGB),56000000,33452 (claim),33452,0.000597357,,,,,1920,,,,,,,,,
1971,,,Greece,Communist Party of Greece (KKE),8803000,"27000 in greece, 10000-15000 in exile (est)",39500,0.004487107,,,,,22-Nov-18,,,,,,,,,
1971,,,Iceland,Labor Alliance (LA),203500,1000 (est),1000,0.004914005,,,,,1930,,,,,,,,,
1971,,,Ireland,Communist Party of Ireland (CPI),4500000,250 (est),250,5.56E-05,,,,,1921,,,,,,,,,
1971,,,Italy,Italian Communist Party (PCI),54000000,1507047 (claim),1507047,0.027908278,,,,,1921,,,,,,,,,
1971,,,Luxembourg,Communist Party of Luxembourg (PCL),336000,500-1000 (est),750,0.002232143,,,,,Jan-21,,,,,,,,,
1971,,,Netherlands,Communist Party of the Netherlands (CPN),12900000,10000 (est),10000,0.000775194,,,,,1918,,,,,,,,,
1971,,,Norway,Communist Party of Norway (NKP),3867000,3000 (est),3000,0.000775795,,,,,4-Nov-23,,,,,,,,,
1971,,,Portugal,Portuguese Communist Party (PCP),9505000,"2000 (est, Western sources)",2000,0.000210416,,,,,Mar-21,,,,,,,,,
1971,,,San Marino,Communist Party of San Marino (PCS),19000,1000 (est),1000,0.052631579,,,,,1922,,,,,,,,,
1971,,,Spain,Communist Party of Spain (PCE),32411000,"5000-20000 (est), 22000 (claim)",12500,0.000385672,,,,,7-Nov-21,,,,,,,,,
1971,,,Sweden,Communist Party of Sweden (SKP),7912000,16000-18000 (est),17000,0.002148635,,,,,1921,,,,,,,,,
1971,,,Switzerland,Communist Party of Switzerland (PdA),6147000,4500-5000 (est),4750,0.000772735,,,,,1921,,,,,,,,,
1971,,,Turkey,Communist Party of Turkey (TKP),33539000,1200-2000 (est) (plus 10000-15000 sympathizers),1600,4.77E-05,,,,,1920,,,,,,,,,
1971,Middle East and Africa,,Algeria,Algerian Communist Party (PCA),14000000,750 (est),750,5.36E-05,,,,,1920,,,,,,,,,
1971,,,Iran,Communist Party of Iran (Tudeh),28400000,500-1000 (est),750,2.64E-05,,,,,1920,,,,,,,,,
1971,,,Iraq,Iraqi Communist Party (ICP),9700000,2000 (est) (10000-20000 sympathizers),2000,0.000206186,,,,,1934,,,,,,,,,
1971,,,Israel,MAKI; RAKAH,2900000,1000 (est); 1000 (est),2000,0.000689655,,,,,1919,,,,,,,,,
1971,,,Jordan,Communist Party of Jordan,2300000,"1000 (est, 5000 sympathizers)",1000,0.000434783,,,,,1943,,,,,,,,,
1971,,,Lebanon,Lebanese Communist Party (LCP),2800000,2000 (est) (4000 sympathizers),2000,0.000714286,,,,,1924,,,,,,,,,
1971,,,Lesotho,Communist Party of Lesotho (CPL),1018000,"""small"" (est)",0,0,,,,,Nov-61,,,,,,,,,
1971,,,Morocco,Moroccan Communist Party (PCM),15700000,400 (est),400,2.55E-05,,,,,1943,,,,,,,,,
1971,,,Nigeria,Socialist Workers' and Farmers' Party (SWAFP),62650000,1000 (est),1000,1.60E-05,,,,,1963,,,,,,,,,
1971,,,Reunion,Reunion Communist Party (PCR),500000,"3500 (claim), 500 (est)",500,0.001,,,,,1959,,,,,,,,,
1971,,,South Africa,South African Communist Party (SACP),20100000,a few hundred (est),300,1.49E-05,,,,,1921,,,,,,,,,
1971,,,Sudan,Sudanese Communist Party (SCP),15000000,5000-10000 (est),7500,0.0005,,,,,1944,,,,,,,,,
1971,,,Syria,Syrian Communist Party (SCP),6200000,3000-4000 (est),3500,0.000564516,,,,,1944,,,,,,,,,
1971,,,Tunisia,Tunisian Communist Party (PCT),5100000,100 (est),100,1.96E-05,,,,,1920,,,,,,,,,
1971,,,United Arab Republic,Communist Party of Egypt (CPE),<Not stated>,800-1000,900,,,,,,1923,,,,,,,,,
1971,North America,,Canada,Communist Party of Canada (CPC); CPC-ML; LSA,21089000,2500 (est); 1000 (est); 1000 (est),4500,0.000213381,,,,,1921,,,,,,,,,
1971,,,USA,Communist Party USA (CPUSA),206240000,12000-13000 (est) (plus 600-800 youth),13100,6.35E-05,,,,,1919,,,,,,,,,
1971,Latin America and Caribbean,,Argentina,Communist Party of Argentina (PCA),23800000,"100000 (claim), 60000 (est)",60000,0.002521008,,,,,1918,,,,,,,,,
1971,,,Bolivia,Communist Party of Bolivia (PCB); PCB-ML; POR; ELN,4600000,3000; 1000; 1000; 80-100,5090,0.001106522,,,,,1950,,,,,,,,,
1971,,,Brazil,Brazilian Communist Party (PCB); PCdoB; Castroite groups,93305000,15000-20000 (est) (17500); 750; 1000-5000 (3000),21250,0.000227748,,,,,Mar-22,,,,,,,,,
1971,,,Chile,Communist Party of Chile (PCCh),9800000,50000-70000,60000,0.006122449,,,,,1912,,,,,,,,,
1971,,,Colombia,Communist Party of Colombia (PCC); FARC; EPL; ELN,21116000,8000-10000 (est); 100; 150; 80,9330,0.000441845,,,,,Dec-26,,,,,,,,,
1971,,,Costa Rica,Popular Vanguard Party (PVP),1800000,600-1200,900,0.0005,,,,,1929,,,,,,,,,
1971,,,Cuba,Communist Party of Cuba (PCC),8553395,120000 (est),120000,0.014029517,,,,,Aug-25,Fidel Castro Ruz,,,,,,,,
1971,,,Dominican Republic,Dominican Communist Party (PCD); MPD; MR-1J4; PSP; PCRD,4300000,250; 250; 400; 50; 100 (overall about 1100) (all ests),1100,0.000255814,,,,,1942,,,,,,,,,
1971,,,Ecuador,Communist Party of Ecuador (PCE); PCE-ML; PSRE,6100000,700-800 (750); 300-400 (350); 500-600 (550) (est),1650,0.000270492,,,,,1926,,,,,,,,,
1971,,,El Salvador,Communist Party of El Salvador (PCES),3400000,200 (est),200,5.88E-05,,,,,1925,,,,,,,,,
1971,,,Guadeloupe,Guadeloupe Communist Party (PCG),335000,1500 (est),1500,0.004477612,,,,,1944,,,,,,,,,
