row_id,country,varname,year,value,source_id
1,albania,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
2,albania,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
3,albania,cp_membership_num,1947,5000,1924-1968_hsssd_cp_membership.csv
4,albania,cp_membership_num,1960,50000,1924-1968_hsssd_cp_membership.csv
5,albania,cp_membership_num,1965,53000,1924-1968_hsssd_cp_membership.csv
6,albania,cp_membership_num,1968,66327,1924-1968_hsssd_cp_membership.csv
7,algeria,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
8,algeria,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
9,algeria,cp_membership_num,1947,25000,1924-1968_hsssd_cp_membership.csv
10,algeria,cp_membership_num,1960,7500,1924-1968_hsssd_cp_membership.csv
11,algeria,cp_membership_num,1965,5500,1924-1968_hsssd_cp_membership.csv
12,algeria,cp_membership_num,1968,1000,1924-1968_hsssd_cp_membership.csv
13,angola,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
14,angola,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
15,angola,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
16,angola,cp_membership_num,1960,50,1924-1968_hsssd_cp_membership.csv
17,angola,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
18,angola,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
19,antilles,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
20,antilles,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
21,antilles,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
22,antilles,cp_membership_num,1960,NA,1924-1968_hsssd_cp_membership.csv
23,antilles,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
24,antilles,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
25,argentina,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
26,argentina,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
27,argentina,cp_membership_num,1947,30000,1924-1968_hsssd_cp_membership.csv
28,argentina,cp_membership_num,1960,75000,1924-1968_hsssd_cp_membership.csv
29,argentina,cp_membership_num,1965,65000,1924-1968_hsssd_cp_membership.csv
30,argentina,cp_membership_num,1968,60000,1924-1968_hsssd_cp_membership.csv
31,australia,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
32,australia,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
33,australia,cp_membership_num,1947,25000,1924-1968_hsssd_cp_membership.csv
34,australia,cp_membership_num,1960,5800,1924-1968_hsssd_cp_membership.csv
35,australia,cp_membership_num,1965,5000,1924-1968_hsssd_cp_membership.csv
36,australia,cp_membership_num,1968,4750,1924-1968_hsssd_cp_membership.csv
37,austria,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
38,austria,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
39,austria,cp_membership_num,1947,150000,1924-1968_hsssd_cp_membership.csv
40,austria,cp_membership_num,1960,50000,1924-1968_hsssd_cp_membership.csv
41,austria,cp_membership_num,1965,35000,1924-1968_hsssd_cp_membership.csv
42,austria,cp_membership_num,1968,27500,1924-1968_hsssd_cp_membership.csv
43,bahrain,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
44,bahrain,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
45,bahrain,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
46,bahrain,cp_membership_num,1960,50,1924-1968_hsssd_cp_membership.csv
47,bahrain,cp_membership_num,1965,50,1924-1968_hsssd_cp_membership.csv
48,bahrain,cp_membership_num,1968,50,1924-1968_hsssd_cp_membership.csv
49,barbados,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
50,barbados,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
51,barbados,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
52,barbados,cp_membership_num,1960,0,1924-1968_hsssd_cp_membership.csv
53,barbados,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
54,barbados,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
55,belgium,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
56,belgium,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
57,belgium,cp_membership_num,1947,95000,1924-1968_hsssd_cp_membership.csv
58,belgium,cp_membership_num,1960,11000,1924-1968_hsssd_cp_membership.csv
59,belgium,cp_membership_num,1965,11000,1924-1968_hsssd_cp_membership.csv
60,belgium,cp_membership_num,1968,12500,1924-1968_hsssd_cp_membership.csv
61,west berlin,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
62,west berlin,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
63,west berlin,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
64,west berlin,cp_membership_num,1960,5000,1924-1968_hsssd_cp_membership.csv
65,west berlin,cp_membership_num,1965,NA,1924-1968_hsssd_cp_membership.csv
66,west berlin,cp_membership_num,1968,6000,1924-1968_hsssd_cp_membership.csv
67,bolivia,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
68,bolivia,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
69,bolivia,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
70,bolivia,cp_membership_num,1960,4000,1924-1968_hsssd_cp_membership.csv
71,bolivia,cp_membership_num,1965,4500,1924-1968_hsssd_cp_membership.csv
72,bolivia,cp_membership_num,1968,6000,1924-1968_hsssd_cp_membership.csv
73,botswana,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
74,botswana,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
75,botswana,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
76,botswana,cp_membership_num,1960,NA,1924-1968_hsssd_cp_membership.csv
77,botswana,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
78,botswana,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
79,brazil,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
80,brazil,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
81,brazil,cp_membership_num,1947,130000,1924-1968_hsssd_cp_membership.csv
82,brazil,cp_membership_num,1960,50000,1924-1968_hsssd_cp_membership.csv
83,brazil,cp_membership_num,1965,31000,1924-1968_hsssd_cp_membership.csv
84,brazil,cp_membership_num,1968,15750,1924-1968_hsssd_cp_membership.csv
85,bulgaria,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
86,bulgaria,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
87,bulgaria,cp_membership_num,1947,450000,1924-1968_hsssd_cp_membership.csv
88,bulgaria,cp_membership_num,1960,484000,1924-1968_hsssd_cp_membership.csv
89,bulgaria,cp_membership_num,1965,528674,1924-1968_hsssd_cp_membership.csv
90,bulgaria,cp_membership_num,1968,613393,1924-1968_hsssd_cp_membership.csv
91,burma,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
92,burma,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
93,burma,cp_membership_num,1947,4000,1924-1968_hsssd_cp_membership.csv
94,burma,cp_membership_num,1960,8000,1924-1968_hsssd_cp_membership.csv
95,burma,cp_membership_num,1965,5000,1924-1968_hsssd_cp_membership.csv
96,burma,cp_membership_num,1968,NA,1924-1968_hsssd_cp_membership.csv
97,burundi,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
98,burundi,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
99,burundi,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
100,burundi,cp_membership_num,1960,0,1924-1968_hsssd_cp_membership.csv
101,burundi,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
102,burundi,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
103,cambodia,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
104,cambodia,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
105,cambodia,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
106,cambodia,cp_membership_num,1960,1000,1924-1968_hsssd_cp_membership.csv
107,cambodia,cp_membership_num,1965,100,1924-1968_hsssd_cp_membership.csv
108,cambodia,cp_membership_num,1968,100,1924-1968_hsssd_cp_membership.csv
109,cameroon,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
110,cameroon,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
111,cameroon,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
112,cameroon,cp_membership_num,1960,50,1924-1968_hsssd_cp_membership.csv
113,cameroon,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
114,cameroon,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
115,canada,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
116,canada,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
117,canada,cp_membership_num,1947,25000,1924-1968_hsssd_cp_membership.csv
118,canada,cp_membership_num,1960,3000,1924-1968_hsssd_cp_membership.csv
119,canada,cp_membership_num,1965,3500,1924-1968_hsssd_cp_membership.csv
120,canada,cp_membership_num,1968,2500,1924-1968_hsssd_cp_membership.csv
121,central african republic,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
122,central african republic,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
123,central african republic,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
124,central african republic,cp_membership_num,1960,0,1924-1968_hsssd_cp_membership.csv
125,central african republic,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
126,central african republic,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
127,sri lanka,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
128,sri lanka,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
129,sri lanka,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
130,sri lanka,cp_membership_num,1960,4000,1924-1968_hsssd_cp_membership.csv
131,sri lanka,cp_membership_num,1965,1900,1924-1968_hsssd_cp_membership.csv
132,sri lanka,cp_membership_num,1968,2300,1924-1968_hsssd_cp_membership.csv
133,chad,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
134,chad,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
135,chad,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
136,chad,cp_membership_num,1960,0,1924-1968_hsssd_cp_membership.csv
137,chad,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
138,chad,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
139,chile,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
140,chile,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
141,chile,cp_membership_num,1947,50000,1924-1968_hsssd_cp_membership.csv
142,chile,cp_membership_num,1960,22500,1924-1968_hsssd_cp_membership.csv
143,chile,cp_membership_num,1965,27500,1924-1968_hsssd_cp_membership.csv
144,chile,cp_membership_num,1968,45000,1924-1968_hsssd_cp_membership.csv
145,china,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
146,china,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
147,china,cp_membership_num,1947,2000000,1924-1968_hsssd_cp_membership.csv
148,china,cp_membership_num,1960,13960000,1924-1968_hsssd_cp_membership.csv
149,china,cp_membership_num,1965,18000000,1924-1968_hsssd_cp_membership.csv
150,china,cp_membership_num,1968,17000000,1924-1968_hsssd_cp_membership.csv
151,taiwan,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
152,taiwan,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
153,taiwan,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
154,taiwan,cp_membership_num,1960,50,1924-1968_hsssd_cp_membership.csv
155,taiwan,cp_membership_num,1965,50,1924-1968_hsssd_cp_membership.csv
156,taiwan,cp_membership_num,1968,50,1924-1968_hsssd_cp_membership.csv
157,colombia,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
158,colombia,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
159,colombia,cp_membership_num,1947,5000,1924-1968_hsssd_cp_membership.csv
160,colombia,cp_membership_num,1960,5000,1924-1968_hsssd_cp_membership.csv
161,colombia,cp_membership_num,1965,13000,1924-1968_hsssd_cp_membership.csv
162,colombia,cp_membership_num,1968,9000,1924-1968_hsssd_cp_membership.csv
163,comoros,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
164,comoros,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
165,comoros,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
166,comoros,cp_membership_num,1960,NA,1924-1968_hsssd_cp_membership.csv
167,comoros,cp_membership_num,1965,NA,1924-1968_hsssd_cp_membership.csv
168,comoros,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
169,republic of the congo,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
170,republic of the congo,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
171,republic of the congo,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
172,republic of the congo,cp_membership_num,1960,50,1924-1968_hsssd_cp_membership.csv
173,republic of the congo,cp_membership_num,1965,0,1924-1968_hsssd_cp_membership.csv
174,republic of the congo,cp_membership_num,1968,0,1924-1968_hsssd_cp_membership.csv
175,democratic republic of the congo,cp_membership_num,1924,NA,1924-1968_hsssd_cp_membership.csv
176,democratic republic of the congo,cp_membership_num,1928,NA,1924-1968_hsssd_cp_membership.csv
177,democratic republic of the congo,cp_membership_num,1947,NA,1924-1968_hsssd_cp_membership.csv
178,democratic republic of the congo,cp_membership_num,1960,50,1924-1968_hsssd_cp_membership.csv
179,democratic republic of the congo,cp_membership_num,1965,50,1924-1968_hsssd_cp_membership.csv
