country,year,est
aden,1947,NA
aden,1952,NA
aden,1956,NA
aden,1957,NA
aden,1958,NA
aden,1959,NA
aden,1960,NA
aden,1961,NA
aden,1962,NA
aden,1963,NA
aden,1964,0
aden,1965,0
aden,1966,0
aden,1967,0
aden,1968,NA
aden,1969,NA
aden,1970,NA
aden,1971,NA
aden,1972,NA
aden,1973,NA
aden,1974,NA
aden,1975,NA
afghanistan,1947,NA
afghanistan,1952,NA
afghanistan,1956,NA
afghanistan,1957,NA
afghanistan,1958,NA
afghanistan,1959,NA
afghanistan,1960,NA
afghanistan,1961,NA
afghanistan,1962,NA
afghanistan,1963,0
afghanistan,1964,0
afghanistan,1965,0
afghanistan,1966,0
afghanistan,1967,0
afghanistan,1968,175
afghanistan,1969,400
afghanistan,1970,400
afghanistan,1971,400
afghanistan,1972,400
afghanistan,1973,400
afghanistan,1974,NA
afghanistan,1975,NA
albania,1947,5000
albania,1952,NA
albania,1956,NA
albania,1957,NA
albania,1958,NA
albania,1959,NA
albania,1960,50000
albania,1961,NA
albania,1962,NA
albania,1963,53000
albania,1964,53000
albania,1965,53000
albania,1966,53000
albania,1967,66327
albania,1968,66327
albania,1969,66327
albania,1970,50000
albania,1971,75670
albania,1972,87000
albania,1973,87000
albania,1974,92485
albania,1975,86985
algeria,1947,25000
algeria,1952,NA
algeria,1956,NA
algeria,1957,NA
algeria,1958,NA
algeria,1959,NA
algeria,1960,7500
algeria,1961,NA
algeria,1962,NA
algeria,1963,5500
algeria,1964,5000
algeria,1965,5500
algeria,1966,500
algeria,1967,500
algeria,1968,750
algeria,1969,500
algeria,1970,750
algeria,1971,575
algeria,1972,400
algeria,1973,400
algeria,1974,400
algeria,1975,400
angola,1947,NA
angola,1952,NA
angola,1956,NA
angola,1957,NA
angola,1958,NA
angola,1959,NA
angola,1960,50
angola,1961,NA
angola,1962,NA
angola,1963,NA
angola,1964,0
angola,1965,0
angola,1966,0
angola,1967,0
angola,1968,0
angola,1969,0
angola,1970,0
angola,1971,0
angola,1972,0
angola,1973,NA
angola,1974,NA
angola,1975,NA
angola (see portuguese africa),1947,NA
angola (see portuguese africa),1952,NA
angola (see portuguese africa),1956,NA
angola (see portuguese africa),1957,NA
angola (see portuguese africa),1958,NA
angola (see portuguese africa),1959,NA
angola (see portuguese africa),1960,NA
angola (see portuguese africa),1961,NA
angola (see portuguese africa),1962,NA
angola (see portuguese africa),1963,NA
angola (see portuguese africa),1964,NA
angola (see portuguese africa),1965,NA
angola (see portuguese africa),1966,NA
angola (see portuguese africa),1967,NA
angola (see portuguese africa),1968,0
angola (see portuguese africa),1969,NA
angola (see portuguese africa),1970,NA
angola (see portuguese africa),1971,NA
angola (see portuguese africa),1972,NA
angola (see portuguese africa),1973,NA
angola (see portuguese africa),1974,NA
angola (see portuguese africa),1975,NA
antilles,1947,NA
antilles,1952,NA
antilles,1956,NA
antilles,1957,NA
antilles,1958,NA
antilles,1959,NA
antilles,1960,NA
antilles,1961,NA
antilles,1962,NA
antilles,1963,NA
antilles,1964,NA
antilles,1965,0
antilles,1966,NA
antilles,1967,NA
antilles,1968,0
antilles,1969,NA
antilles,1970,NA
antilles,1971,NA
antilles,1972,NA
antilles,1973,NA
antilles,1974,NA
antilles,1975,NA
antilles (netherlands),1947,NA
antilles (netherlands),1952,NA
antilles (netherlands),1956,NA
antilles (netherlands),1957,NA
antilles (netherlands),1958,NA
antilles (netherlands),1959,NA
antilles (netherlands),1960,NA
antilles (netherlands),1961,NA
antilles (netherlands),1962,NA
antilles (netherlands),1963,NA
antilles (netherlands),1964,NA
antilles (netherlands),1965,NA
antilles (netherlands),1966,NA
antilles (netherlands),1967,0
antilles (netherlands),1968,0
antilles (netherlands),1969,0
antilles (netherlands),1970,0
antilles (netherlands),1971,NA
antilles (netherlands),1972,0
antilles (netherlands),1973,NA
antilles (netherlands),1974,NA
antilles (netherlands),1975,NA
arabian peninsula,1947,NA
arabian peninsula,1952,NA
arabian peninsula,1956,NA
arabian peninsula,1957,NA
arabian peninsula,1958,NA
arabian peninsula,1959,NA
arabian peninsula,1960,NA
arabian peninsula,1961,NA
arabian peninsula,1962,NA
arabian peninsula,1963,NA
arabian peninsula,1964,NA
arabian peninsula,1965,NA
arabian peninsula,1966,NA
arabian peninsula,1967,0
arabian peninsula,1968,0
arabian peninsula,1969,NA
arabian peninsula,1970,NA
arabian peninsula,1971,NA
arabian peninsula,1972,NA
arabian peninsula,1973,NA
arabian peninsula,1974,NA
arabian peninsula,1975,NA
argentina,1947,30000
argentina,1952,NA
argentina,1956,NA
argentina,1957,NA
argentina,1958,NA
argentina,1959,NA
argentina,1960,75000
argentina,1961,NA
argentina,1962,NA
argentina,1963,45000
argentina,1964,45000
argentina,1965,65000
argentina,1966,65000
argentina,1967,60000
argentina,1968,60000
argentina,1969,60000
argentina,1970,55000
argentina,1971,60000
argentina,1972,60000
argentina,1973,70000
argentina,1974,155000
argentina,1975,130000
aruba,1947,NA
aruba,1952,NA
aruba,1956,NA
aruba,1957,NA
aruba,1958,NA
aruba,1959,NA
aruba,1960,NA
aruba,1961,NA
aruba,1962,NA
aruba,1963,0
aruba,1964,0
aruba,1965,0
aruba,1966,0
aruba,1967,NA
aruba,1968,NA
aruba,1969,NA
aruba,1970,NA
aruba,1971,NA
aruba,1972,NA
aruba,1973,NA
aruba,1974,NA
aruba,1975,NA
australia,1947,25000
australia,1952,NA
australia,1956,NA
australia,1957,NA
australia,1958,NA
australia,1959,NA
australia,1960,5800
australia,1961,NA
australia,1962,NA
australia,1963,6000
australia,1964,6000
australia,1965,5000
australia,1966,5000
australia,1967,5000
australia,1968,4875
australia,1969,4750
australia,1970,4700
australia,1971,4075
australia,1972,3900
australia,1973,3900
australia,1974,2300
australia,1975,2000
austria,1947,150000
austria,1952,NA
austria,1956,NA
austria,1957,NA
austria,1958,NA
austria,1959,NA
austria,1960,50000
austria,1961,NA
austria,1962,NA
austria,1963,50000
austria,1964,35000
austria,1965,35000
austria,1966,35000
austria,1967,35000
austria,1968,27500
austria,1969,27500
austria,1970,25000
austria,1971,26000
austria,1972,25000
austria,1973,250000
austria,1974,15000
austria,1975,20676
bahrain,1947,NA
bahrain,1952,NA
bahrain,1956,NA
bahrain,1957,NA
bahrain,1958,NA
bahrain,1959,NA
bahrain,1960,50
bahrain,1961,NA
bahrain,1962,NA
bahrain,1963,NA
bahrain,1964,0
bahrain,1965,25
bahrain,1966,0
bahrain,1967,0
bahrain,1968,25
bahrain,1969,0
bahrain,1970,0
bahrain,1971,0
bahrain,1972,0
bahrain,1973,NA
bahrain,1974,NA
bahrain,1975,NA
bahrein,1947,NA
bahrein,1952,NA
bahrein,1956,NA
bahrein,1957,NA
bahrein,1958,NA
bahrein,1959,NA
bahrein,1960,NA
bahrein,1961,NA
bahrein,1962,NA
bahrein,1963,0
bahrein,1964,NA
bahrein,1965,NA
bahrein,1966,NA
bahrein,1967,NA
bahrein,1968,NA
bahrein,1969,NA
bahrein,1970,NA
bahrein,1971,NA
bahrein,1972,NA
bahrein,1973,NA
bahrein,1974,NA
bahrein,1975,NA
bangladesh,1947,NA
bangladesh,1952,NA
bangladesh,1956,NA
bangladesh,1957,NA
bangladesh,1958,NA
bangladesh,1959,NA
bangladesh,1960,NA
bangladesh,1961,NA
bangladesh,1962,NA
bangladesh,1963,NA
bangladesh,1964,NA
bangladesh,1965,NA
bangladesh,1966,NA
bangladesh,1967,NA
bangladesh,1968,NA
