country,1947,1952,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975
aden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,175,400,400,400,400,400,NA,NA
albania,5000,NA,NA,NA,NA,NA,50000,NA,NA,53000,53000,53000,53000,66327,66327,66327,50000,75670,87000,87000,92485,86985
algeria,25000,NA,NA,NA,NA,NA,7500,NA,NA,5500,5000,5500,500,500,750,500,750,575,400,400,400,400
angola,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
angola (see portuguese africa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
antilles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
antilles (netherlands),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,NA,NA
arabian peninsula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
argentina,30000,NA,NA,NA,NA,NA,75000,NA,NA,45000,45000,65000,65000,60000,60000,60000,55000,60000,60000,70000,155000,130000
aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
australia,25000,NA,NA,NA,NA,NA,5800,NA,NA,6000,6000,5000,5000,5000,4875,4750,4700,4075,3900,3900,2300,2000
austria,150000,NA,NA,NA,NA,NA,50000,NA,NA,50000,35000,35000,35000,35000,27500,27500,25000,26000,25000,250000,15000,20676
bahrain,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,0,25,0,0,25,0,0,0,0,NA,NA,NA
bahrein,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
