country,year,info
aden,1947,
aden,1952,
aden,1956,
aden,1957,
aden,1958,
aden,1959,
aden,1960,
aden,1961,
aden,1962,
aden,1963,
aden,1964,
aden,1965,
aden,1966,
aden,1967,
aden,1968,
aden,1969,
aden,1970,
aden,1971,
aden,1972,
aden,1973,
aden,1974,
aden,1975,
afghanistan,1947,
afghanistan,1952,
afghanistan,1956,
afghanistan,1957,
afghanistan,1958,
afghanistan,1959,
afghanistan,1960,
afghanistan,1961,
afghanistan,1962,
afghanistan,1963,
afghanistan,1964,
afghanistan,1965,
afghanistan,1966,
afghanistan,1967,
afghanistan,1968,
afghanistan,1969,
afghanistan,1970,
afghanistan,1971,
afghanistan,1972,
afghanistan,1973,
afghanistan,1974,
afghanistan,1975,
albania,1947,
albania,1952,
albania,1956,
albania,1957,
albania,1958,
albania,1959,
albania,1960,
albania,1961,
albania,1962,
albania,1963,
albania,1964,
albania,1965,
albania,1966,
albania,1967,
albania,1968,
albania,1969,
albania,1970,
albania,1971,
albania,1972,
albania,1973,
albania,1974,
albania,1975,
algeria,1947,
algeria,1952,
algeria,1956,
algeria,1957,
algeria,1958,
algeria,1959,
algeria,1960,
algeria,1961,
algeria,1962,
algeria,1963,
algeria,1964,
algeria,1965,
algeria,1966,
algeria,1967,
algeria,1968,
algeria,1969,
algeria,1970,
algeria,1971,
algeria,1972,
algeria,1973,
algeria,1974,
algeria,1975,
angola,1947,
angola,1952,
angola,1956,
angola,1957,
angola,1958,
angola,1959,
angola,1960,
angola,1961,
angola,1962,
angola,1963,
angola,1964,
angola,1965,
angola,1966,
angola,1967,
angola,1968,
angola,1969,
angola,1970,
angola,1971,
angola,1972,
angola,1973,
angola,1974,
angola,1975,
angola (see portuguese africa),1947,
angola (see portuguese africa),1952,
angola (see portuguese africa),1956,
angola (see portuguese africa),1957,
angola (see portuguese africa),1958,
angola (see portuguese africa),1959,
angola (see portuguese africa),1960,
angola (see portuguese africa),1961,
angola (see portuguese africa),1962,
angola (see portuguese africa),1963,
angola (see portuguese africa),1964,
angola (see portuguese africa),1965,
angola (see portuguese africa),1966,
angola (see portuguese africa),1967,
angola (see portuguese africa),1968,
angola (see portuguese africa),1969,
angola (see portuguese africa),1970,
angola (see portuguese africa),1971,
angola (see portuguese africa),1972,
angola (see portuguese africa),1973,
angola (see portuguese africa),1974,
angola (see portuguese africa),1975,
antilles,1947,
antilles,1952,
antilles,1956,
antilles,1957,
antilles,1958,
antilles,1959,
antilles,1960,
antilles,1961,
antilles,1962,
antilles,1963,
antilles,1964,
antilles,1965,
antilles,1966,
antilles,1967,
antilles,1968,
antilles,1969,
antilles,1970,
antilles,1971,
antilles,1972,
antilles,1973,
antilles,1974,
antilles,1975,
antilles (netherlands),1947,
antilles (netherlands),1952,
antilles (netherlands),1956,
antilles (netherlands),1957,
antilles (netherlands),1958,
antilles (netherlands),1959,
antilles (netherlands),1960,
