\variable,cp_membership,cp_membership,cp_membership,cp_membership,cp_membership,cp_membership,
country\year,1924,1928,1947,1960,1965,1968,notes
Afghanistan,,,,0,50,400,
Albania,,,"5,000","50,000","53,000","66,327",
Algeria,,,"25,000","7,500","5,500"," 1,000",
Angola,,,,50,0,0,
Antilles,,,,,0,0,
Argentina,,,"30,000","75,000","65,000","60,000",
Australia,,,"25,000","5,800","5,000","4,750",
Austria,,,"150,000","50,000","35,000","27,500",
Bahrain,,,,50,50,50,
Barbados,,,,0,0,0,
Belgium,,,"95,000","11,000","11,000","12,500",
West Berlin,,,," 5,000",,"6,000",
Bolivia,,,,"4,000","4,500","6,000",
Botswana,,,,,0,0,
Brazil,,,"130,000","50,000","31,000","15,750",
Bulgaria,,,"450,000","484,000","528,674","613,393",
Burma,,,"4,000","8,000","5,000",N/A,
Burundi,,,,0,0,0,
Cambodia,,,," 1,000",100,100,
Cameroon,,,,50,0,0,
Canada,,,"25,000","3,000","3,500","2,500",
Central African Republic,,,,0,0,0,
Sri Lanka,,,,"4,000","1,900","2,300",
Chad,,,,0,0,0,
Chile,,,"50,000","22,500","27,500","45,000",
China,,,2000000,"13,960,000","18,000,000","17,000,000",
Taiwan,,,,50,50,50,
Colombia,,,"5,000"," 5,000","13,000","9,000",
Comoros,,,,,,0,
Republic of the Congo,,,,50,0,0,
Democratic Republic of the Congo,,,,50,50,50,
Costa Rica,,,"20,000",300,300,600,
Cuba,,,"200,000","27,000","35,000","60,000",
Cyprus,,,"4 ,000","5,000","10,000","13,000",
Czechoslovakia,138996,150000,"250,000","1,500,000","1,676,509","1,700,000",
Benin,,,,0,0,0,
Denmark,,,"60,000","5,000","5,000","6,000",
Dominican Republic,,,"2,000",50,N/A,"1,100",
Ecuador,,,"2,500","1,000","2,500","1,650",
El Salvador,,,," 1,000",200,200,
Ethiopia,,,,50,0,0,
Finland,,,"25,000","32,500","40,000","49,000",
France,"68,187","52,376","1,300,000","250,000","260,000","275,000",
Djibouti,,,,,0,0,
Gabon,,,,0,0,0,
Gambia,,,,,0,0,
East Germany,,,1600000,1472930,1610679,1769912,
West Germany,,,"350,000","50,000","50,000",7000,
Germany (combined),"121,394","124,729",,,,,
Ghana,,,,50,0,0,
Greece,,,"250,000","20,000","20,000","27,000",
Guadeloupe,,,,"3,000","1,000","1,300",
Guatemala,,,,"1,200","1,300",750,
French Guiana,,,,50,50,50,
Guinea,,,,50,0,0,
Equatorial Guinea,,,,,,0,
Guinea-Bissau,,,,,0,0,
Guyana,,,,"6,000",0,100,
Haiti,,,500,50,N/A,N/A,
Honduras,,,,400,"2,400",300,
Hong Kong,,,,N/A,N/A,N/A,
Hungary,,,"650,000","437,956","520,000","600,000",
Iceland,,,"1,000","1,000","1,000","1,000",
Ifni,,,,,0,0,Added to Morocco
India,,,"54 ,000","230,000","135,000","125,000",
Indonesia,,,"6,000","1,500,000","2,000,000","5,000",
Iran,,,"75,000","1,500","1,500","1,000",
Iraq,,,,"2,000","15,000","2,000",
Ireland,,,,100,100,125,
Israel,,,"1,000"," 2,000","2,000","2,000",
Italy,,,"2,000,000","1,350,000","1,350,000","1,500,000",
Ivory Coast,,,,0,0,0,
Jamaica,,,,150,0,50,
Japan,,,"60,000","70,000","120,000","250,000",
Jordan,,,,200,500,700,
Kenya,,,,0,0,0,
North Korea,,,"40,000","1,200,000","1,300,000","1,600,000",
South Korea,,,"10,000",50,50,50,
Kuwait,,,,50,50,50,
Laos,,,,100,100,N/A,
Lebanon,,,"15,000",,"3,000","6,000",
Lesotho,,,,0, 100,50,
Liberia,,,,,0,0,
Libya,,,,50,0,50,
Luxembourg,,,"5,000",500,500,500,
Madagascar,,,,N/A, 100,50,
Malawi,,,,0,0,0,
Malaysia,,,"10,000","5,000","2,000","2,000",
Maldives,,,,,,0,
Mali,,,,0,0,0,
Malta,,,,,,0,
Martinique,,,,"2,500",700,700,
